Rule ID,Strategy family,Rule component,Proposed rule,Evidence classification,Source,Timestamp,Market,Timeframe,Exact or paraphrased evidence,Contradictory evidence,Mechanical readiness,Research notes
R-032,F7 (pre-ORB),Pre-ORB entries,Trades taken before 09:45 are NOT governed by any published ORB rule.,Explicit (that they are undisclosed) and Demonstrated,V6,"V6 06:46,14:00,05:31",NQ/MNQ,30s/1m,"EXACT V6 06:46 'Easy few two [Futures Two]. I've been talking about it with my students over the last sessions. You guys know exactly what I'm talking about' and 'Is futures two available for purchase? Yeah, it's called the mastermind. You get five strategies.' EXACT V6 14:00 'It hasn't gave no criteria for the zone yet ... It would have to print below like 29 for me to take this honestly. Too many RFGs back-to-back for me to take it on the first.'",None - he is explicit that the criteria are paid content.,NOT RESEARCHABLE FROM PUBLIC EVIDENCE,"The mandate asks whether entry occurs before the ORB forms. Answer: yes, frequently - but using a different, undisclosed, paid strategy. It must NOT be folded into the ORB families."
R-033,POWER HOUR,Power-hour ORB,No power-hour ORB was found. The 'Power Hour Special' show does not use the opening range and Max does not host it.,Unresolved / provisionally rejected (1 of 29+ episodes sampled),V9,"V9 whole video, 240 caption blocks keyword-scanned",NQ,5m/1m,"The word 'orb' and the phrase 'opening range' do not occur once in the episode. The levels used are a proprietary 'sauce box' with its own midline (V9 1:03:49 '24 is the midline of sauce box'), plus 'Quantum Shift' and 'Pivot Hunter Pro' (V9 1:43:35). Hosts are Vlady, Logan and Havi (V9 0:15:06). Max is absent.",None found; but only one episode of 29+ was sampled.,n/a,Phase 0 listed 'power-hour ORB' as a distinct family. On this evidence that is NOT supported. Recorded as provisionally rejected pending a second sample.
R-034,ALL,Instruments demonstrated,"All demonstrated ORB trading in the reviewed sample is US index futures (NQ/MNQ, ES/MES) and US index options (SPX/SPY/QQQ).",Explicit and repeated (demonstration); Marketing claim (transferability),V1; V2; V3; V4; V5; V6; V7,"V1 29:42-30:26; V3 02:07,16:33; V8 40:36","NQ/MNQ, ES/MES, SPX, SPY, QQQ",all,"EXACT V1 29:42 'What about Okay, indices, futures, what about individual stock? Applicable. Uh options, crypto - if you believe in that scam - futures, what about that? Applicable.' EXACT V8 40:36 'yes it works on Forex, yes it works on Futures, yes it works on options, yes it works on stocks, yes it works on indices, yes it works on Commodities'.","No FX, crypto, commodity or single-stock chart is ever worked through in the reviewed sample. One unlabelled gold reference (V1 30:26 'Does it work on gold? Absolutely') with no analysis.",n/a,"Classify all cross-market transferability as MARKETING CLAIM, not evidence."
R-035,ALL,Number of strategies,"Max states he runs six strategies, all of which are based on the ORB, two of which are his futures strategies.",Explicit but isolated,V8,V8 40:06,n/a,n/a,"EXACT V8 40:06 'you use the orb across six strategies ... all of them use the orb but the orb is the primary basis ... two of them, the orb is also my Futures Trading strategy'.",None.,n/a,Direct source support for the mandate's instruction not to treat ORB-labelled content as one strategy. He says so himself.
R-036,"F1,F2,F3,F4 (boundary entry)",Prospective conditional pre-commitment (the bracket),"Before resolution Max states BOTH branches: if price prints through beyond the boundary, take the continuation; if price returns inside the ORB, take the opposite side.",Explicit and repeated,V10 NF0qHcXp50o; V12 5TGYTazDvKA; V7 6NZYglh13u0,V10 12:50 and 13:15; V12 05:44 and 08:49; V7 14:33,NQ/MNQ + SPX,"1m primary, 15m context","EXACT V10 12:50 'I'm going short. I'm going short on the or[b] break ... We need to see printage, though. If I don't see printage, I'm not a fan.' EXACT V10 13:15 'if we pop back in the orb, I'm going long.' EXACT V12 05:44 'I would be looking for two things: one, a retracement back down to orb and then a bounce up; or two ... a continuation right to the upside. Anytime we see a close back inside of orb anywhere, that's an invalidation.'","None. But note it is a BRACKET, not a forecast - it does not say which branch will occur.",READY - codeable as an OCO,"RR-002 P-1. This is the structurally correct way to represent Max: one OCO strategy, not two competing hypotheses. Testing continuation and reversal as rivals tests something he never claimed."
R-037,ALL,There is no single correct entry - stated by the source,"Asked directly when to enter if there is no retest, Max declines to define one entry and lists several as equally valid.",Explicit but isolated - and it is decisive,V12 5TGYTazDvKA,V12 36:39 and 37:09,NQ / US indices,any,"EXACT V12 37:09 'you can enter right here on this close. You don't have to wait for this. It's not invalidated. You can enter on any close outside of orb ... on the smaller time frames you can enter here, here, here, here. I mean, you can enter on all of these. There's no there's no correct answer. Just make sure that you have your risk reward.' EXACT V12 36:39 'if you're waiting for a two candle close, or you waiting for retest, or are you waiting for market structure - there's a couple different ways to do it ... and they all have their own risk reward.'",Directly contradicts any claim that a single entry representation is THE Max rule.,n/a - it is a meta-rule,C-09. This outranks any inference the Analyst or the Research Agent could make. No single entry representation may be labelled 'Max's rule'.
R-038,"F1,F4 (boundary entry)",Live entry mechanism,"Entry is taken by hand at market, at or just beyond the boundary, in the seconds after a lower-timeframe print-through appears. A resting STOP order placed beyond the ORB before the break was NOT FOUND in any video.",Demonstrated but not formally taught (the mechanism); NOT FOUND (the pre-placed stop order),V10; V11; V7,"V10 13:40; V11 02:07,11:34,39:56; V7 12:52",NQ/MNQ,30s/1m,"EXACT V10 13:40 'Bang. Hold on. I'm taking right there. I'm taking it. I'm taking the long. I'm taking it. I'm in.' EXACT V11 02:07 'I jumped in off of this wick out.' EXACT V11 11:34 'Just off of a break out of orb, I'd probably take it with a crazy 10 point [stop]. I jumped in the long.'",Limit orders are also used (R-039) and one resting entry order is set at a non-ORB level (V10 07:43).,READY as a fill assumption (market at the boundary),RR-002 Q2. Do NOT describe EXP-008 as 'a resting stop at the ORB edge' - that is not verified and is not what he does.
R-039,F3 (post-break retest),Limit order on the retest,A limit order is placed at the level for a retest entry; fills are visibly unreliable.,Source supported but isolated (live); repeated as teaching,V10; V12; V11,"V10 13:15,19:12; V12 06:46,32:29; V11 04:17,39:30",NQ,1m,"EXACT V10 13:15 'I might even put like a limit. Hold on. I might put like a limit right here.' EXACT V10 19:12 'It filled me really bad though. I tried to fill at 59. It filled me.' EXACT V11 39:30 'I wanted my entry at 308. You're making me get in eight points away from [where] I wanted it.' EXACT V12 06:46 'breakout, test, secondary entry. This is where all professional traders would scale in, this is where you would double dip and you would go heavy.'",The TAUGHT retest is a SECOND entry after an already-successful break; the LIVE retest is an attempt at a better price on the FIRST entry. Not the same trade.,INCOMPLETE - retest tolerance still undefined (U-02),Any EXP-008 retest arm must model non-fills. He demonstrably fails to get filled.
R-040,ALL (boundary entry),"Initial stop, live","The initial stop is placed beyond the ENTRY CANDLE's extreme or the immediate swing point. Observed on NQ at 6, 6, 9, 9, 9, 10, 16.5 and 17 points.",Explicit and repeated,V10; V11,"V10 14:08,17:30,17:56,18:47,25:10; V11 11:34,11:59,12:49,16:44,17:09,39:05,39:56",NQ/MNQ,1m,EXACT V10 14:08 'Stop loss. Just that pre[vious] stop loss at [the] candle low ... Risking a total of nine points.' EXACT V11 39:05 'previous resistance you'd want to see turn support. Stop loss goes under the candle.' EXACT V11 39:56 'My stop loss is at new high. New high of the day.' EXACT V11 11:59 'I have a nine point stop loss if I just rip out of orb.',"V10 16:39 carries a runner with 'Okay, no stop loss'. V1 41:00 'There's no stop losses for me.' See C-12.",READY - this is the externally defined risk unit EXP-008 needs,RR-002 Q3. The stop exists at entry in every live example except runners; it is moved only in the profitable direction; no widened stop was found anywhere in 12 videos.
R-041,ALL (taught),"Initial stop, taught",Risk is the distance from entry back to the broken ORB boundary; invalidation is a close back inside the range.,Explicit and repeated,V12; V8,"V12 05:44,31:58,32:29,34:00,37:39,06:15; V8 14:52","US indices, NQ",15m and lower,EXACT V12 31:58 'when you break outside of orb you are risking your entry.' EXACT V12 34:00 'you risk three points ... but you made 16 points.' EXACT V12 37:39 'you had a [bad] entry and you risk six points but you still made 13 points.',"This is a DIFFERENT rule from R-040, attached to a different entry. They are not two numbers for one rule.",READY,"Confirms the Analyst's EXP-001 risk unit was source-faithful for the taught entry. For a BOUNDARY entry this distance collapses to ~0, which is precisely why R-040 is needed."
R-042,ALL,Cross-instrument confirmation,An NQ trade is gated on a named level breaking on SPX or ES.,Explicit and repeated,V10; V11,"V10 27:18,28:09; V11 06:02,08:59,10:15",NQ gated on SPX/ES,1m,"EXACT V10 27:18 'If we get above 84, I'm taking the long. If it goes above 84, I'll tell everyone right now.' EXACT V10 28:09 'We need SPX to flip and break above 84. And I'm going long.' EXACT V11 08:59 'If SPX prints through 75, if SPX prints below 75, I might take the starter position on a short.' EXACT V11 06:02 'If NQ trezys and S&P breaks 71, I'm going to go short.'",The levels themselves are hand-chosen on the day; the STRUCTURE (gate NQ on the paired index) is consistent.,PARTIALLY READY - the gating structure is codeable; the level selection is not,"RR-002 P-4. Genuinely new in cycle 2. The Analyst already holds aligned NAS100 and US500 series, so this is cheap to test with an Analyst-defined level rule."
R-043,F4 (counter-trend),Asymmetric confirmation latency,A trade WITH the prevailing trend needs one confirmation; a trade AGAINST it needs an additional confirmation candle.,Explicit but isolated,V10,V10 26:00,NQ,1m/30s,"EXACT V10 26:00 'I want to see a print through and a continuation. I'm going to be patient because it is downtrending and I don't want to fight the trend. So, I'm going to wait for the confirmation of the reversal before I take that ... I'm not going to jump on this candle. I'm going to wait for that confirmation candle cuz this thing could just wick down and kill it.'",None found.,PARTIALLY READY - needs an Analyst definition of 'trend',"This is the CLOSEST thing to a continuation-vs-reversal discriminator found anywhere, and it is a latency rule, not a selector. It does not predict which branch occurs."
R-044,ALL,"Five-minute opening range, live",Before 09:45 a 5-minute opening range (09:30-09:35) is tracked and referred to by name.,Demonstrated but not formally taught,V11,"V11 02:07,04:17 (15m range completes at V11 09:50)",NQ,5m,EXACT V11 02:07 'I'd love for NQ to break out of this 5minute orb.' EXACT V11 04:17 'broke out of the fiveminute orb already.',R-001 and V1 07:23 both state the method is the 15-minute range; V1 explicitly frames 5m as something other people do.,READY - construction is trivial,"C-10. This is the cleanest available explanation of what cycle 1 recorded as undifferentiated 'pre-ORB trading' (R-032), and it is testable."
R-045,ALL,Exit for the boundary entry,"Hold until invalidation (a close back inside the ORB), trimming at each counter-structure point; full exit on the second.",Explicit and repeated,V12,"V12 05:44,26:21,29:25,29:57,37:09",US indices,15m and 1m,"EXACT V12 26:21 'here is your first exit, your first trim is that newer low, and then any newer low after that would have been a full exit.' EXACT V12 29:25 'Here's your trim, here's your exit. You ride it until the invalidation.' EXACT V12 29:57 'go long until it's invalidated ... once you get the invalidations then you have your confirmation to get out.'","Live he scales out far earlier and trails the stop behind every candle (V11 13:41-15:52, five moves in about two minutes).",READY once a swing rule is fixed,RR-002 Q4. This is the only exit stated as a RULE for the boundary entry. Do not reuse MC-1's midline/opposite-edge exit here.
R-046,ALL,News-day avoidance,Avoid days when the Fed chair is speaking.,Explicit but isolated,V11,V11 78:22; related V11 08:34,NQ,n/a,"EXACT V11 78:22 'There's a day where Powell's talking, guys. Try to stay away as much as possible.' EXACT V11 08:34 'we need to catch a trade within 15 minutes or we need to ride that 10:00 and potential reversal with JP.'",He traded that day anyway and ended green.,READY with an economic calendar,"The only no-trade condition in the whole evidence base that is tied to an external, objective calendar."
R-047,ALL,No backtesting,Max states he has never backtested and only forward-tests.,Explicit but isolated,V10,V10 10:42,n/a,n/a,"EXACT V10 10:42 (audience Q on backtesting) 'I've never back tested a day in my life. Ever. I forward test. I just trade on the market. I just trade, bro.'",V4 27:08 appeals to 'the large statistical data' for CL-012; V2 23:33 appeals to '20 years worth of data' for the Friday claim. He cannot both have never backtested and have compiled that data personally.,n/a,Material to how CL-012 and CL-014 should be weighted. Recorded in CLAIMS_REGISTER as CL-018.
R-048,ALL,Fibonacci 78.6% as a final target,A fib 78.6 retracement level is used as the final take-profit and as a reversal watch level.,Explicit but isolated,V10,"V10 23:26,24:18,32:54,34:09",NQ,1m,"EXACT V10 23:26 'The top of this 786 would be the reversal I'd be looking for. If it can go there, that would be the final TP.' EXACT V10 34:09 'look at all these taps of the 786.'","Not mentioned in any of the nine cycle-1 videos, nor in V11 or V12.","n/a - flagged, not adopted",Recorded because it is a NEW LEVEL CLASS. It must not be quietly folded into an ORB specification on the strength of one session.
R-049,ALL,Confirmation latency — universal form,"Do not enter on the candle that produces the signal; enter on the next one, or a later one.",Explicit and repeated (3x in one video),V13 vTnk9C8u5RQ,"V13 00:00, 01:04, 01:46, 02:07",NQ/MNQ,1m,EXACT V13 01:04 'It's not the candle you think you should enter on. It's usually the next one. You wait for things to play out before you enter. That's the biggest key.' EXACT V13 01:46 'So it's never the candle you think it is. It's usually the one after or a couple after that's going to be the setup.' EXACT V13 02:07 'You want to wait for it to round and even break structure back to the upside for that jump.',None. It generalises R-043 from counter-trend-only to universal.,READY,"CYCLE 3. Sharpens the confirmation family: a one-candle-plus delay is now taught as a universal principle. The programme measures one minute of delay at -0.155R, so this moves the source further onto the wrong side of that finding, not closer."
R-050,ALL,Initial stop sized to the recent wick distribution,"Set the stop wider than the recent wicks — if the last ~20 candles carry 15-20 point wicks, use a ~25 point stop and size down to micros to afford it.",Explicit but isolated,V13 vTnk9C8u5RQ,V13 05:57-06:38,NQ/MNQ,1m,"EXACT V13 05:57 'The previous 20 candles had 15 to 20 point wicks, but you got a five-point stop-loss and you don't think this is going to wick. You need to do either two things here. One, you need to check your size and go down maybe to three or four micros instead of a mini and allow that 25 point stop loss. Or two, you need to just let the trade breathe.'","Coexists with R-040 (entry candle extreme, 6-17 pts), R-041 (entry back to the ORB boundary) and R-014 (three-bar, bar 2 extreme). Four stop constructions now.",READY and objectively codeable,"CYCLE 3, and the most consequential item in it. It implies R ~25 pts rather than the ~9 pts tested, which would cut cost/R to ~0.053R. BUT the Analyst has already measured gross edge at R>=20 as NEGATIVE (-0.034R), so widening destroys the signal faster than it saves cost. This CONFIRMS the closure against the obvious 'your stop was too tight' objection."
R-051,ALL,Three bar named TRT,"The three-bar pattern is formally named TRT — trend, range, trend.",Explicit and repeated,V13; V14,"V13 02:07-02:28; V14 03:04, 12:57, 22:49, 25:20",NQ,any,"EXACT V14 03:04 'the max way is built off of two simple principles. The market can only trend. The market can only range and the market can only trend again after that range. It's called TRT. Trend, range, trend.' EXACT V14 08:12 'if you enter that three bar break, your risk is just the high of the second bar.'",None.,READY,Naming only; confirms R-013 and R-014 unchanged.
R-052,ALL,BNR is the same object as a market-structure retest,"Break-and-retest and the higher-low / lower-high of market structure are, in his vocabulary, the same thing.",Explicit but isolated,V14 umBODqRzLnQ,V14 09:29,NQ,1m,"EXACT V14 09:29 'You know what these market structures are? We call them higher lows, higher lows, lower lows, lower highs, right? They're retests. That's what they are. They're break and retests. We call them market structure, which is so important. I call them break and retest.'",Still supplies no tolerance — how close is a retest.,PARTIAL — U-02 still open on tolerance,CYCLE 3. Closest the corpus comes to defining BNR.
R-053,ALL,"Trailing is automated, and a measured trail distance exists",Structure trailing is now run by an automated ATM configuration; one measured instance trailed 12 points on NQ through an 80-point move.,Demonstrated but not formally taught,V13 vTnk9C8u5RQ,V13 04:12-05:14,NQ/MNQ,1m,"EXACT V13 04:33 'The automated trailing is something Logan put on my charts and I became addicted to it ... it's Logan's ATM settings that I use on Tradeify and wealth charts.' EXACT V13 04:54 'this morning I entered my long and it ripped up 80 points and I was up $5,000 per account and it trailed 12 points. Just trailed 12 points the whole way.' EXACT V13 05:14 'It's almost impossible to catch a 100 to 200 point trade when you're trailing so close because wicks can happen.'",R-031 records an 80/70/60-tick trail (20/17.5/15 pts). The 12-point figure is tighter.,READY,"CYCLE 3. First MEASURED trail distance in the corpus, and he states its cost himself."
R-054,ALL,"No pre-market work, with a time",He does not look at the market before 09:27 ET.,Explicit but isolated,V14 umBODqRzLnQ,V14 29:08,NQ,n/a,EXACT V14 29:08 'I know I dont look at the market till 9:27. I dont give a [ __ ] what happens because Im a scalper. I dont care what happened at 6:00 in the morning. I need 5 minutes of good price action. Thats all I need to be successful.',None. Confirms and times R-004.,READY,CYCLE 3.
R-055,ALL,Additional named markers,M and W patterns; psychological round-number levels; 'left shoulder'/'cliff' imbalances; 'cabbage patch' clusters; 'seller wicks'.,Explicit but isolated,V14 umBODqRzLnQ,"V14 07:21, 33:20, 34:35, 35:00",NQ; S&P referenced,1m,"EXACT V14 07:21 'We have an up move, down move creates our M right here ... This is an entry with a wildly high success rate.' EXACT V14 33:45 'There is an imbalance on this chart happens to be right around 507. 507, seven points above 500. A major psychological level.' EXACT V14 35:00 'Seller wick. Seller wick ... If these seller wicks got taken out, you think these guys are going to sit here and take losses? They are going to go long and jump on the train.'","None; these are additional markers, not a system change.",Objective but unquantified (no tolerance for any of them),CYCLE 3. Recorded so they are not quietly adopted. None is proposed for testing.
R-056,ALL,MVG mechanism stated — and it is incorrect,He explains the MVG as institutional data feed lag from the CME to charting providers.,"Explicit but isolated, and TECHNICALLY WRONG",V14 umBODqRzLnQ,V14 13:50-14:17,NQ,any,"EXACT V14 13:50 'It is institutional data lagging from the data provider. The CME sends the information out to Trading View, Tradeify, Wealth Charts ... and sometimes that data lags because of a massive order block during the time stamp ... That lag is what I call an MVG. I am pretty sure I invented this.'","A candle with no wick on one side is an ordinary price gap between consecutive bars — the standard fair-value-gap construct, which predates him. There is no data-feed-lag mechanism; exchange data is timestamped at the exchange and a lag would not manifest as a missing wick.","n/a — flagged, not adopted","CYCLE 3 credibility flag. The marker may have whatever value it has as a price feature, but the stated mechanism is false and the originality claim is not supportable. Do not adopt on the strength of the mechanism. See CL-026."
