Example ID,Source,Timestamp,Date of price action,Market,Live or retrospective,Family,Entry described,Stop described,Exit described,Outcome,Consistent with taught rules?,Notes
EX-12,V7,11:33-14:33,Oct 2025 Monday,NQ,LIVE,F1 ORB breakout long,'ES with a full break out of orb ... Michael long on this orb break looks good'; 'That was a max way entry','stop loss is at 19',"trimmed twice, stopped out; 'Total gain 765'","Winner, +765",YES - closest thing to a clean taught-rule ORB trade in any live session,He notes 'I don't care about the wick' when the break was wick-only - again undercutting the close rule.
EX-13,V8 9kGsdiiIT_I,13:21-20:46,random bar-replay day (blind),US index,"Retrospective but BLIND (bar-replay, day chosen unseen)",F1 then F4,"15m close outside ORB; on the 1m, retest-fail-close entry",'the break back into orb is where you close your trade',"midline first TP, opposite edge second TP",First example: 'this trade probably would have been a break even or a small win'. Second: full move to opposite ORB edge.,YES,"METHODOLOGICALLY THE BEST EXAMPLE IN THE ENTIRE SAMPLE: Max uses TradingView bar-replay, stops on a day he says he has not chosen, and walks it forward. He also shows a losing/scratch outcome. This is the closest thing to an honest out-of-sample demonstration on the channel."
EX-14,V8,16:33-17:34,same blind replay,US index,Retrospective blind,F4 failed breakout,"broke above ORB, next candle invalidated back inside",not stated,'play a short all the way down to the bottom',"'let's just say that first one was a loss, totally okay'",YES,He explicitly books the first attempt as a loss before taking the reversal. Rare and useful.
EX-15,V9 3JTl-K7oYbE,1:03:49-1:06:49,2026-03-20,NQ,LIVE,NOT ORB - proprietary 'sauce box',break of 80 level,trailing,midline of sauce box at 24,~42-45 point winner,n/a - no ORB involved,Confirms the Power Hour show does not use ORB.
EX-16,V10 NF0qHcXp50o,12:50-16:39,21-22 Apr 2025 (stated 'April 21st'; also 'the pope passed away yesterday' - Pope Francis died 21 Apr 2025),NQ + MNQ micros,LIVE,F4a boundary reversal (pop back inside ORB),"PRE-ANNOUNCED at 12:50 ('if we pop back in the orb, I'm going long'). Executed at 13:40 as a MANUAL MARKET entry ('I'm taking it. I'm in'). A limit was contemplated at 13:15 and NOT used.",Previous candle low = 9 points ('Just that pre stop loss at candle low ... risking a total of nine points'),"Trailed to 85, then 90, then 95; scaled out 10 contracts at 15:23; 'tapped out'",WINNER - 'took final profit on the rejection at 12. That's 47 points',Entry mechanism is NOT the taught 15m close; the branch was pre-announced,"THE key example for RR-002 Q2. Order existed before the break: NO. Entry on touch/wick/close/retest: on the flip candle, no completed close. One runner later carried with 'Okay, no stop loss' (16:39), closed for -$11."
EX-17,V10 NF0qHcXp50o,12:50 / 18:47-20:04,same session,NQ,LIVE,F3 break-and-retest short,PRE-ANNOUNCED at 12:50 ('I'm going to be looking for the next candle to just retest the orb ... We need to see printage'). Entered 18:47 'I'm in it. Stops at 69.',"69 (a level, beyond the entry structure)",Partial at ~100 ticks; partials at psychological levels; 'targeting for this a one to six',WINNER - 'that was the easiest setup of the day',"YES - this is the taught break-and-retest, and it was called in advance","Max's own prospectivity claim at 20:04: 'before it happened, I told you guys what I wanted to see ... I said, I want to see a break and a retest of orb.' Strongest single instance of a pre-stated setup on the channel."
EX-18,V11 0WddcphxAo8,11:34-12:49,~1 yr before 2026-09-12; Powell speaking at 10:00 ET,NQ micros,LIVE,F1 boundary breakout long,"MANUAL MARKET on the break out of the ORB. 'Just off of a break out of orb, I'd probably take it with a crazy 10 point [stop]. I jumped in the long.'",9-10 points ('I have a nine point stop loss if I just rip out of orb'),none - stopped out quickly,LOSER - 'I had a 9point stop loss. My [position] got hit already',"Entry is a boundary entry, not a completed-close entry","Explicitly flagged by Max as sub-standard at 11:59: 'It's not an A+ setup here, but I'm just going with trend.' A volunteered losing example at the boundary entry."
EX-19,V11 0WddcphxAo8,39:05-39:56,same session,NQ,LIVE,level-flip short (not ORB-specific),Wanted a limit at 308; took MARKET 8 points away under peer pressure. 'I wanted my entry at 308. You're making me get in eight points away from [where] I wanted it.',New high of the day,partials,WINNER,"n/a - a support/resistance flip trade, not an ORB trade",Contains the clearest stop-placement instruction in any live session: 'previous resistance you'd want to see turn support. Stop loss goes under the candle. Mix it with an FVG and a fib level. This would be an entry for me.'
EX-20,V11 0WddcphxAo8,02:07-04:17,same session,NQ,LIVE,pre-09:45 entry on a FIVE-MINUTE opening range,"'I jumped in off of this wick out' - market, on a wick, before the 15-minute range existed. The 5-minute ORB is named: 'I'd love for NQ to break out of this 5minute orb.'",not stated at entry,'I need a clean break and then a ret[est]',not followed to a stated outcome,NO - contradicts R-001's 15-minute-only construction,C-10. The cleanest available explanation of the 'pre-ORB' entries catalogued in cycle 1 as R-032.
EX-21,V10 NF0qHcXp50o,07:43-08:08,same session,NQ,LIVE,resting entry order at a level,"'if it breaks 10, I'm going to set an entry for the 10. See if we can get in on that.' Order type NOT STATED. Level is prior structure, NOT the ORB boundary. Immediately followed by 'I'm just gonna wait for this candle closure.'",not stated,not stated,not followed on air,n/a,THE ONLY instance in 12 videos of a resting entry order being set. It is not at the ORB boundary and its type is unstated. This is why 'resting stop at the ORB edge' is classified NOT FOUND.
EX-22,V12 5TGYTazDvKA,28:24-29:57,"bar-replay walkthrough, date unknown",US index,Retrospective walkthrough,F6/F1 compression then confirmed break,'we have six candles inside of orb. Now this means two things ... you definitely want to play the confirmed break of orb','we're going to play just a confirmation break back inside the orb - there's our risk to reward',"'here's your trim, here's your exit. You ride it until the invalidation'","shown as a winner, then 'looks like a pretty choppy day, remember I told [you it] would stay within'",YES for the six-candle rule; CONTRADICTS R-021 (fade the edges),"U-04 resolved here: he is 'only on the 15minute chart' (19:37) while making the count. Second branch quantified: 'stay close within it, usually within about 15 points on each side.'"
